year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,year_opened
2008,295003000000000,Idaho                                             ,Independent                                                                ,295,0,0,29,Arizona                                           ,Pac-12/Pac-10 Conference                                                   ,1,49,BTEAM     ,11,22,47,47,186,186,65,65,170,170,17,21,8,5,0,0,0,0,-49,49,8/30/2008,11,Arizona Stadium                                                            ,TEAM           ,Tucson                                                                     ,AZ,57400,Grass                    ,1929
2012,295007000000000,Idaho                                             ,Independent                                                                ,295,0,6,71,Bowling Green                                     ,Mid-American Conference                                                    ,1,7,BTEAM     ,13,10,17,17,62,62,131,131,144,144,16,20,3,9,6,4,35,23,-1,1,9/8/2012,96,Doyt Perry Stadium                                                         ,TEAM           ,Bowling Green                                                              ,OH,28599,FieldTurf                ,1966
2011,295008000000000,Idaho                                             ,Independent                                                                ,295,0,0,77,BYU                                               ,Independent                                                                ,1,28,BTEAM     ,16,19,45,45,93,93,-2,-2,193,193,7,22,4,7,4,6,25,65,-28,28,11/12/2011,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2012,295008000000000,BYU                                               ,Independent                                                                ,77,1,42,295,Idaho                                             ,Independent                                                                ,0,7,ATEAM     ,20,14,168,168,209,209,184,184,101,101,26,20,10,9,1,2,0,10,35,35,11/10/2012,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2010,295010000000000,Idaho                                             ,Independent                                                                ,295,0,0,96,Fresno State                                      ,Mountain West Conference                                                   ,1,3,BTEAM     ,10,25,-54,-54,43,43,21,21,148,148,8,20,5,7,1,2,8,10,-3,3,11/27/2010,13,Bulldog Stadium                                                            ,TEAM           ,Fresno                                                                     ,CA,41000,Grass                    ,1980
2012,295046000000000,Idaho                                             ,Independent                                                                ,295,0,0,457,North Carolina                                    ,Atlantic Coast Conference                                                  ,1,45,BTEAM     ,13,16,45,45,67,67,95,95,144,144,22,18,7,4,2,7,10,43,-45,45,9/11/2010,84,Memorial Stadium                                                           ,TEAM           ,Lincoln                                                                    ,NE,87091,FieldTurf                ,1923
2009,295047000000000,New Mexico State                                  ,Independent                                                                ,472,0,0,295,Idaho                                             ,Independent                                                                ,1,21,BTEAM     ,12,19,-34,-34,138,138,133,133,178,178,15,17,5,9,6,4,31,21,-21,21,12/3/2011,90,Mackay Stadium                                                             ,TEAM           ,Reno                                                                       ,NV,31000,FieldTurf                ,1966
2011,295047000000000,Idaho                                             ,Independent                                                                ,295,0,10,472,New Mexico State                                  ,Independent                                                                ,1,21,BTEAM     ,15,17,35,35,67,67,86,86,101,101,22,15,9,6,2,1,20,5,-11,11,10/15/2011,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1978
2013,295047000000000,Idaho                                             ,Independent                                                                ,295,0,13,472,New Mexico State                                  ,Independent                                                                ,1,10,ATEAM     ,22,17,113,113,162,162,46,46,72,72,15,19,7,11,1,1,5,5,3,3,11/30/2013,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1978
2009,295050000000000,Idaho                                             ,Independent                                                                ,295,1,21,503,Northern Illinois                                 ,Mid-American Conference                                                    ,0,10,ATEAM     ,17,19,91,91,101,101,181,181,94,94,13,13,2,4,1,1,5,5,11,11,8/31/2013,160,Apogee Stadium                                                             ,TEAM           ,Denton                                                                     ,TX,30850,FieldTurf                ,2011
2008,295063000000000,Idaho                                             ,Independent                                                                ,295,0,3,626,San Diego State                                   ,Mountain West Conference                                                   ,1,24,BTEAM     ,15,16,38,38,150,150,-35,-35,235,235,16,28,10,11,4,0,30,0,-21,21,9/27/2008,16,Qualcomm Stadium                                                           ,TEAM           ,San Diego                                                                  ,CA,71294,Grass                    ,1967
2011,295063000000000,Idaho                                             ,Independent                                                                ,295,1,7,630,San Jose State                                    ,Mountain West Conference                                                   ,0,22,BTEAM     ,17,20,61,61,-12,-12,145,145,139,139,10,21,3,6,1,2,7,8,-15,15,11/5/2011,18,Spartan Stadium                                                            ,TEAM           ,San Jose                                                                   ,CA,30000,Grass                    ,1933
2012,295067000000000,Idaho                                             ,Independent                                                                ,295,0,7,670,Texas State                                       ,Sun Belt Conference                                                        ,1,14,BTEAM     ,13,24,77,77,154,154,80,80,61,61,11,12,4,3,3,2,50,12,-7,7,10/13/2012,131,Bobcat Stadium                                                             ,TEAM           ,San Marcos                                                                 ,TX,30000,FieldTurf                ,1981
2008,295073000000000,Idaho                                             ,Independent                                                                ,295,0,7,731,Utah State                                        ,Mountain West Conference                                                   ,1,7,TIED      ,12,23,32,32,153,153,46,46,5,5,13,18,6,7,6,3,47,30,0,0,9/20/2008,133,Romney Stadium                                                             ,TEAM           ,Logan                                                                      ,UT,30257,SportsTurf               ,1968
2010,295073000000000,Idaho                                             ,Independent                                                                ,295,1,14,731,Utah State                                        ,Mountain West Conference                                                   ,0,6,ATEAM     ,14,22,37,37,75,75,67,67,37,37,15,15,2,8,0,2,0,18,8,8,11/20/2010,133,Romney Stadium                                                             ,TEAM           ,Logan                                                                      ,UT,30257,SportsTurf               ,1968
2012,295073000000000,Idaho                                             ,Independent                                                                ,295,0,3,731,Utah State                                        ,Mountain West Conference                                                   ,1,21,BTEAM     ,28,14,120,120,17,17,133,133,86,86,14,13,4,3,2,1,20,11,-18,18,11/24/2012,133,Romney Stadium                                                             ,TEAM           ,Logan                                                                      ,UT,30257,SportsTurf               ,1968
2012,306073000000000,Navy                                              ,Independent                                                                ,726,1,14,306,Indiana                                           ,Big Ten Conference                                                         ,0,17,BTEAM     ,22,25,92,92,82,82,34,34,250,250,3,24,1,5,3,1,10,5,-3,3,10/20/2012,62,Navy-Marine Corps Memorial Stadium                                         ,TEAM           ,Annapolis                                                                  ,MD,35000,FieldTurf                ,1959
2010,366047000000000,New Mexico State                                  ,Independent                                                                ,472,0,10,366,Louisiana Tech                                    ,Conference USA                                                             ,1,24,BTEAM     ,16,17,70,70,95,95,103,103,137,137,18,17,6,6,3,2,25,10,-14,14,11/22/2008,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1978
2009,366073000000000,Navy                                              ,Independent                                                                ,726,1,18,366,Louisiana Tech                                    ,Conference USA                                                             ,0,14,ATEAM     ,33,7,145,145,1,1,53,53,120,120,4,19,1,6,0,1,0,5,4,4,9/12/2009,62,Navy-Marine Corps Memorial Stadium                                         ,TEAM           ,Annapolis                                                                  ,MD,35000,FieldTurf                ,1959
2011,392051000000000,Notre Dame                                        ,Independent                                                                ,513,1,24,392,Maryland                                          ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,26,14,132,132,44,44,167,167,112,112,23,16,6,6,3,1,15,5,17,17,11/12/2011,65,FedEx Field                                                                ,NEUTRAL        ,Landover                                                                   ,MD,80116,Grass                    ,1997
2012,415051000000000,Notre Dame                                        ,Independent                                                                ,513,1,13,415,Miami (Florida)                                   ,Atlantic Coast Conference                                                  ,0,3,ATEAM     ,20,9,103,103,46,46,172,172,125,125,23,19,8,10,3,2,30,15,10,10,10/6/2012,147,Soldier Field                                                              ,NEUTRAL        ,Chicago                                                                    ,IL,61500,Grass                    ,1924
2009,416051000000000,Notre Dame                                        ,Independent                                                                ,513,1,16,416,Michigan State                                    ,Big Ten Conference                                                         ,0,17,BTEAM     ,16,16,77,77,103,103,125,125,141,141,15,20,2,7,3,4,20,27,-1,1,10/23/2010,46,Ryan Field                                                                 ,TEAM           ,Evanston                                                                   ,IL,49256,Grass                    ,1926
2008,418051000000000,Notre Dame                                        ,Independent                                                                ,513,1,28,418,Michigan                                          ,Big Ten Conference                                                         ,0,17,ATEAM     ,10,24,61,61,194,194,115,115,99,99,13,18,4,5,3,3,35,23,11,11,10/8/2011,46,Ryan Field                                                                 ,TEAM           ,Evanston                                                                   ,IL,49256,Grass                    ,1926
2012,418051000000000,Notre Dame                                        ,Independent                                                                ,513,1,10,418,Michigan                                          ,Big Ten Conference                                                         ,0,0,ATEAM     ,14,19,33,33,61,61,86,86,91,91,12,14,4,4,2,3,13,24,10,10,9/11/2010,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1930
2013,419008000000000,BYU                                               ,Independent                                                                ,77,1,23,419,Middle Tennessee                                  ,Conference USA                                                             ,0,10,ATEAM     ,24,24,-4,-4,96,96,96,96,42,42,9,16,1,9,6,3,45,25,13,13,9/27/2013,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2013,446073000000000,Army                                              ,Independent                                                                ,725,1,21,446,Morgan State                                      ,Mid-Eastern                                                                ,0,6,ATEAM     ,19,29,79,79,148,148,98,98,40,40,6,7,2,4,6,0,30,0,15,15,8/30/2013,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,1924
2010,465008000000000,BYU                                               ,Independent                                                                ,77,1,35,465,UNLV                                              ,Mountain West Conference                                                   ,0,0,ATEAM     ,25,16,134,134,46,46,192,192,55,55,20,14,6,9,2,2,20,20,35,35,11/6/2010,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2010,466008000000000,BYU                                               ,Independent                                                                ,77,0,10,466,Nevada                                            ,Mountain West Conference                                                   ,1,21,BTEAM     ,13,26,9,9,179,179,84,84,163,163,18,17,10,5,4,1,35,5,-11,11,9/25/2010,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2010,466030000000000,Idaho                                             ,Independent                                                                ,295,0,3,466,Nevada                                            ,Mountain West Conference                                                   ,1,27,BTEAM     ,8,26,16,16,146,146,80,80,263,263,20,24,13,7,2,1,20,5,-24,24,11/6/2010,43,Kibbie Dome                                                                ,TEAM           ,Moscow                                                                     ,ID,15820,AstroTurf                ,1975
2009,472007000000000,New Mexico State                                  ,Independent                                                                ,472,0,0,66,Boise State                                       ,Mountain West Conference                                                   ,1,28,BTEAM     ,20,18,-8,-8,98,98,-12,-12,231,231,8,25,4,9,5,0,31,0,-28,28,12/5/2009,42,Bronco Stadium                                                             ,TEAM           ,Boise                                                                      ,ID,37000,AstroPlay                ,1970
2011,472008000000000,BYU                                               ,Independent                                                                ,77,1,21,472,New Mexico State                                  ,Independent                                                                ,0,7,ATEAM     ,16,14,72,72,23,23,141,141,95,95,22,21,8,10,4,2,25,11,14,14,11/19/2011,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2013,472011000000000,New Mexico State                                  ,Independent                                                                ,472,0,0,110,UCLA                                              ,Pac-12/Pac-10 Conference                                                   ,1,31,BTEAM     ,25,18,107,107,23,23,70,70,124,124,12,26,5,9,6,0,50,0,-31,31,9/21/2013,15,Rose Bowl                                                                  ,TEAM           ,Pasadena                                                                   ,CA,91136,Grass                    ,1922
2008,472030000000000,Idaho                                             ,Independent                                                                ,295,1,14,472,New Mexico State                                  ,Independent                                                                ,0,14,TIED      ,26,11,194,194,16,16,15,15,88,88,12,22,6,2,0,3,0,10,0,0,10/25/2008,43,Kibbie Dome                                                                ,TEAM           ,Moscow                                                                     ,ID,15820,AstroTurf                ,1975
2010,472030000000000,New Mexico State                                  ,Independent                                                                ,472,0,7,295,Idaho                                             ,Independent                                                                ,1,31,BTEAM     ,16,14,73,73,54,54,49,49,247,247,16,32,12,12,2,10,20,76,-24,24,10/23/2010,43,Kibbie Dome                                                                ,TEAM           ,Moscow                                                                     ,ID,15820,AstroTurf                ,1975
2012,472030000000000,New Mexico State                                  ,Independent                                                                ,472,0,10,295,Idaho                                             ,Independent                                                                ,1,17,BTEAM     ,16,13,92,92,-37,-37,109,109,259,259,15,29,5,11,4,5,42,35,-7,7,10/6/2012,43,Kibbie Dome                                                                ,TEAM           ,Moscow                                                                     ,ID,15820,AstroTurf                ,1975
2008,472047000000000,New Mexico State                                  ,Independent                                                                ,472,1,21,466,Nevada                                            ,Mountain West Conference                                                   ,0,24,BTEAM     ,15,24,38,38,153,153,239,239,82,82,27,11,14,5,1,4,8,25,-3,3,10/11/2008,90,Mackay Stadium                                                             ,TEAM           ,Reno                                                                       ,NV,31000,FieldTurf                ,1966
2010,472047000000000,New Mexico State                                  ,Independent                                                                ,472,0,3,466,Nevada                                            ,Mountain West Conference                                                   ,1,31,BTEAM     ,17,21,31,31,139,139,81,81,212,212,15,20,7,9,0,0,0,0,-28,28,9/26/2009,87,University Stadium                                                         ,TEAM           ,Albuquerque                                                                ,NM,40000,Grass                    ,1960
2009,472052000000000,New Mexico State                                  ,Independent                                                                ,472,0,0,518,Ohio State                                        ,Big Ten Conference                                                         ,1,28,BTEAM     ,14,24,63,63,73,73,64,64,168,168,7,24,3,12,1,2,5,30,-28,28,10/31/2009,99,Ohio Stadium                                                               ,TEAM           ,Columbus                                                                   ,OH,102329,FieldTurf                ,1922
2009,472063000000000,New Mexico State                                  ,Independent                                                                ,472,0,7,626,San Diego State                                   ,Mountain West Conference                                                   ,1,10,BTEAM     ,23,14,132,132,42,42,47,47,49,49,13,18,4,13,2,3,20,11,-3,3,10/3/2009,16,Qualcomm Stadium                                                           ,TEAM           ,San Diego                                                                  ,CA,71294,Grass                    ,1967
2010,472070000000000,New Mexico State                                  ,Independent                                                                ,472,0,10,704,UTEP                                              ,Conference USA                                                             ,1,21,BTEAM     ,10,16,28,28,89,89,133,133,108,108,20,19,7,8,4,3,35,25,-11,11,9/20/2008,124,Sun Bowl                                                                   ,TEAM           ,El Paso                                                                    ,TX,50426,AstroPlay                ,1963
2012,472073000000000,New Mexico State                                  ,Independent                                                                ,472,0,0,731,Utah State                                        ,Mountain West Conference                                                   ,1,28,BTEAM     ,19,11,84,84,133,133,37,37,182,182,22,16,10,7,3,1,26,15,-28,28,10/20/2012,133,Romney Stadium                                                             ,TEAM           ,Logan                                                                      ,UT,30257,SportsTurf               ,1968
2008,473008000000000,BYU                                               ,Independent                                                                ,77,1,7,473,New Mexico                                        ,Mountain West Conference                                                   ,0,3,ATEAM     ,13,26,53,53,107,107,114,114,47,47,16,8,7,2,1,2,5,20,4,4,10/11/2008,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2010,473008000000000,BYU                                               ,Independent                                                                ,77,1,20,473,New Mexico                                        ,Mountain West Conference                                                   ,0,0,ATEAM     ,19,18,106,106,94,94,117,117,101,101,20,16,11,9,5,6,25,38,20,20,11/20/2010,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2012,473047000000000,New Mexico State                                  ,Independent                                                                ,472,0,7,473,New Mexico                                        ,Mountain West Conference                                                   ,1,10,BTEAM     ,9,23,24,24,156,156,81,81,93,93,11,15,4,6,2,2,15,5,-3,3,9/22/2012,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1978
2010,497073000000000,Army                                              ,Independent                                                                ,725,1,14,497,North Texas                                       ,Conference USA                                                             ,0,0,ATEAM     ,25,22,125,125,167,167,12,12,-7,-7,5,16,4,9,2,0,10,0,14,14,9/18/2010,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,1924
2008,504008000000000,BYU                                               ,Independent                                                                ,77,1,27,504,Northern Iowa                                     ,MVFC/Gateway                                                               ,0,3,ATEAM     ,13,18,52,52,164,164,238,238,41,41,27,9,6,5,3,3,35,20,24,24,8/30/2008,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2011,509073000000000,Army                                              ,Independent                                                                ,725,1,7,509,Northwestern                                      ,Big Ten Conference                                                         ,0,7,TIED      ,34,17,136,136,112,112,6,6,77,77,5,16,4,7,2,1,15,5,0,0,9/17/2011,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,1924
2012,513007000000000,Notre Dame                                        ,Independent                                                                ,513,1,14,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,3,ATEAM     ,23,9,57,57,46,46,140,140,92,92,14,15,3,7,4,2,20,11,11,11,11/10/2012,61,Alumni Stadium                                                             ,TEAM           ,Chestnut Hill                                                              ,MA,44500,FieldTurf                ,1957
2011,513042000000000,Notre Dame                                        ,Independent                                                                ,513,0,17,418,Michigan                                          ,Big Ten Conference                                                         ,1,7,ATEAM     ,18,12,99,99,43,43,118,118,71,71,22,9,7,6,2,4,18,30,10,10,9/12/2009,66,Michigan Stadium                                                           ,TEAM           ,Ann Arbor                                                                  ,MI,107501,FieldTurf                ,1927
2008,513046000000000,Notre Dame                                        ,Independent                                                                ,513,0,17,457,North Carolina                                    ,Atlantic Coast Conference                                                  ,1,9,ATEAM     ,12,14,61,61,37,37,193,193,141,141,23,20,7,10,3,1,15,5,8,8,10/11/2008,78,Kenan Stadium                                                              ,TEAM           ,Chapel Hill                                                                ,NC,61836,Grass                    ,1927
2012,513052000000000,Notre Dame                                        ,Independent                                                                ,513,1,10,522,Oklahoma                                          ,Big 12 Conference                                                          ,0,6,ATEAM     ,13,16,105,105,-7,-7,55,55,194,194,11,27,6,9,3,1,15,5,4,4,10/27/2012,103,Memorial Stadium at Owen Field                                             ,TEAM           ,Norman                                                                     ,OK,81207,Grass                    ,1923
2009,513055000000000,Notre Dame                                        ,Independent                                                                ,513,0,3,545,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,1,10,BTEAM     ,12,16,37,37,52,52,84,84,132,132,16,20,6,10,0,1,0,15,-7,7,11/14/2009,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,2001
2009,513056000000000,Notre Dame                                        ,Independent                                                                ,513,1,17,559,Purdue                                            ,Big Ten Conference                                                         ,0,7,ATEAM     ,22,14,97,97,63,63,54,54,99,99,17,21,8,9,5,3,35,15,10,10,9/26/2009,50,Ross-Ade Stadium                                                           ,TEAM           ,West Lafayette                                                             ,IN,68000,Grass                    ,1924
2011,513056000000000,Notre Dame                                        ,Independent                                                                ,513,1,21,559,Purdue                                            ,Big Ten Conference                                                         ,0,3,ATEAM     ,19,15,154,154,46,46,158,158,110,110,23,23,10,13,5,2,33,20,18,18,10/1/2011,50,Ross-Ade Stadium                                                           ,TEAM           ,West Lafayette                                                             ,IN,68000,Grass                    ,1924
2013,513056000000000,Notre Dame                                        ,Independent                                                                ,513,1,3,559,Purdue                                            ,Big Ten Conference                                                         ,0,10,BTEAM     ,15,12,29,29,23,23,72,72,133,133,17,20,8,8,3,0,30,0,-7,7,9/14/2013,50,Ross-Ade Stadium                                                           ,TEAM           ,West Lafayette                                                             ,IN,68000,Grass                    ,1924
2010,513066000000000,Notre Dame                                        ,Independent                                                                ,513,1,13,657,USC                                               ,Pac-12/Pac-10 Conference                                                   ,0,3,ATEAM     ,13,13,66,66,44,44,157,157,35,35,24,16,7,6,3,1,15,0,10,10,11/27/2010,14,LA Coliseum                                                                ,TEAM           ,Los Angeles                                                                ,CA,92000,Grass                    ,1923
2009,513067000000000,Notre Dame                                        ,Independent                                                                ,513,0,24,674,Stanford                                          ,Pac-12/Pac-10 Conference                                                   ,1,20,ATEAM     ,15,20,169,169,75,75,142,142,99,99,16,12,5,4,1,2,10,8,4,4,11/28/2009,19,Stanford Stadium                                                           ,TEAM           ,Stanford                                                                   ,CA,50000,Grass                    ,1921
2011,513067000000000,Notre Dame                                        ,Independent                                                                ,513,0,0,674,Stanford                                          ,Pac-12/Pac-10 Conference                                                   ,1,21,BTEAM     ,14,21,-25,-25,110,110,65,65,170,170,16,21,9,7,3,6,20,38,-21,21,11/26/2011,19,Stanford Stadium                                                           ,TEAM           ,Stanford                                                                   ,CA,50000,Grass                    ,1921
2008,513073000000000,Navy                                              ,Independent                                                                ,726,0,7,513,Notre Dame                                        ,Independent                                                                ,1,7,TIED      ,22,21,88,88,51,51,10,10,40,40,5,14,4,2,2,4,20,25,0,0,11/15/2008,63,M&T Bank Stadium                                                           ,NEUTRAL        ,Baltimore                                                                  ,MD,69084,Sportexe Momentum        ,1998
2010,513073000000000,Navy                                              ,Independent                                                                ,726,1,21,513,Notre Dame                                        ,Independent                                                                ,0,10,ATEAM     ,27,20,180,180,-21,-21,28,28,178,178,1,18,0,5,1,0,15,0,11,11,10/23/2010,157,Metlife Stadium                                                            ,NEUTRAL        ,East Rutherford                                                            ,NJ,82566,FieldTurf                ,2010
2012,513073000000000,Navy                                              ,Independent                                                                ,726,0,0,513,Notre Dame                                        ,Independent                                                                ,1,27,BTEAM     ,25,20,109,109,152,152,113,113,-5,-5,12,10,3,3,1,2,15,15,-27,27,9/1/2012,49,Notre Dame Stadium                                                         ,NEUTRAL        ,South Bend                                                                 ,IN,80795,Grass                    ,1930
2011,513075000000000,Notre Dame                                        ,Independent                                                                ,513,1,10,749,Wake Forest                                       ,Atlantic Coast Conference                                                  ,0,17,BTEAM     ,16,21,70,70,89,89,53,53,104,104,11,14,5,4,1,1,5,12,-7,7,11/5/2011,83,Groves Stadium                                                             ,TEAM           ,Winston Salem                                                              ,NC,31500,FieldTurf                ,1968
2008,513076000000000,Notre Dame                                        ,Independent                                                                ,513,1,17,756,Washington                                        ,Pac-12/Pac-10 Conference                                                   ,0,0,ATEAM     ,20,17,78,78,33,33,24,24,5,5,21,9,10,8,1,3,15,20,17,17,10/25/2008,139,Husky Stadium                                                              ,TEAM           ,Seattle                                                                    ,WA,72500,FieldTurf                ,1920
2012,528008000000000,BYU                                               ,Independent                                                                ,77,0,14,528,Oregon State                                      ,Pac-12/Pac-10 Conference                                                   ,1,14,TIED      ,20,8,65,65,19,19,58,58,193,193,26,18,8,6,2,2,10,10,0,0,10/13/2012,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2008,545073000000000,Navy                                              ,Independent                                                                ,726,0,14,545,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,1,35,BTEAM     ,17,24,170,170,171,171,18,18,173,173,3,18,0,6,1,2,10,21,-21,21,10/18/2008,62,Navy-Marine Corps Memorial Stadium                                         ,TEAM           ,Annapolis                                                                  ,MD,35000,FieldTurf                ,1959
2008,559051000000000,Notre Dame                                        ,Independent                                                                ,513,1,14,559,Purdue                                            ,Big Ten Conference                                                         ,0,14,TIED      ,13,12,34,34,44,44,115,115,277,277,17,34,8,15,2,3,20,19,0,0,10/9/2010,46,Ryan Field                                                                 ,TEAM           ,Evanston                                                                   ,IL,49256,Grass                    ,1926
2013,574047000000000,New Mexico State                                  ,Independent                                                                ,472,0,12,574,Rice                                              ,Conference USA                                                             ,1,28,BTEAM     ,19,34,98,98,192,192,101,101,77,77,10,10,5,4,1,2,1,10,-16,16,10/19/2013,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1978
2008,587073000000000,Navy                                              ,Independent                                                                ,726,1,6,587,Rutgers                                           ,Big East Conference/American Athletic                                      ,0,14,BTEAM     ,21,20,88,88,133,133,12,12,-16,-16,4,11,2,5,2,1,25,5,-8,8,10/23/2009,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,1924
2010,626008000000000,BYU                                               ,Independent                                                                ,77,1,14,626,San Diego State                                   ,Mountain West Conference                                                   ,0,7,ATEAM     ,31,6,133,133,-2,-2,-33,-33,178,178,16,19,5,7,1,2,5,10,7,7,10/9/2010,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2013,626047000000000,New Mexico State                                  ,Independent                                                                ,472,0,16,626,San Diego State                                   ,Mountain West Conference                                                   ,1,5,ATEAM     ,15,13,10,10,-26,-26,168,168,141,141,20,20,5,9,3,4,30,24,11,11,10/23/2010,87,University Stadium                                                         ,TEAM           ,Albuquerque                                                                ,NM,40000,Grass                    ,1960
2008,626051000000000,Notre Dame                                        ,Independent                                                                ,513,1,7,626,San Diego State                                   ,Mountain West Conference                                                   ,0,7,TIED      ,17,7,-120,-120,-1,-1,133,133,151,151,20,32,9,18,4,3,28,23,0,0,9/6/2008,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1930
2011,626073000000000,Army                                              ,Independent                                                                ,725,0,14,626,San Diego State                                   ,Mountain West Conference                                                   ,1,14,TIED      ,40,12,210,210,65,65,43,43,84,84,4,10,2,6,1,0,5,0,0,0,11/21/2009,135,Rice Eccles Stadium                                                        ,TEAM           ,Salt Lake City                                                             ,UT,45017,FieldTurf                ,1927
2011,630008000000000,BYU                                               ,Independent                                                                ,77,1,23,630,San Jose State                                    ,Mountain West Conference                                                   ,0,6,ATEAM     ,19,12,18,18,33,33,113,113,128,128,14,21,3,5,0,3,0,19,17,17,10/8/2011,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1964
2012,630030000000000,Idaho                                             ,Independent                                                                ,295,0,7,630,San Jose State                                    ,Mountain West Conference                                                   ,1,14,BTEAM     ,16,17,-11,-11,-7,-7,42,42,122,122,12,18,6,4,0,0,0,0,-7,7,11/3/2012,43,Kibbie Dome                                                                ,TEAM           ,Moscow                                                                     ,ID,15820,AstroTurf                ,1975
2008,630047000000000,New Mexico State                                  ,Independent                                                                ,472,0,7,630,San Jose State                                    ,Mountain West Conference                                                   ,1,21,BTEAM     ,10,21,-15,-15,93,93,203,203,53,53,22,13,7,6,2,3,22,15,-14,14,11/15/2008,90,Mackay Stadium                                                             ,TEAM           ,Reno                                                                       ,NV,31000,FieldTurf                ,1966
2013,646073000000000,Navy                                              ,Independent                                                                ,726,1,20,646,South Alabama                                     ,Sun Belt Conference                                                        ,0,14,ATEAM     ,22,18,167,167,69,69,85,85,133,133,12,18,5,3,1,0,5,0,6,6,11/16/2013,62,Navy-Marine Corps Memorial Stadium                                         ,TEAM           ,Annapolis                                                                  ,MD,35000,FieldTurf                ,1959
2009,657051000000000,Notre Dame                                        ,Independent                                                                ,513,0,7,657,USC                                               ,Pac-12/Pac-10 Conference                                                   ,1,13,BTEAM     ,15,20,47,47,101,101,72,72,143,143,15,15,7,7,1,1,5,8,-6,6,10/17/2009,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1930
2008,663073000000000,Navy                                              ,Independent                                                                ,726,1,27,663,SMU                                               ,Big East Conference/American Athletic                                      ,0,0,ATEAM     ,38,7,157,157,16,16,0,0,127,127,0,18,0,10,2,1,7,5,27,27,10/25/2008,62,Navy-Marine Corps Memorial Stadium                                         ,TEAM           ,Annapolis                                                                  ,MD,35000,FieldTurf                ,1959
