year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,year_opened
2010,96043300000000,Mississippi                                       ,Southeastern Conference                                                    ,433,1,27,96,Fresno State                                      ,Mountain West Conference                                                   ,0,10,ATEAM     ,20,20,251,251,27,27,136,136,157,157,9,18,3,6,2,1,10,5,17,17,9/25/2010,76,Vaught-Hemingway Stadium                                                   ,TEAM           ,Oxford                                                                     ,MS,60580,AstroPlay                ,1915
2009,110069000000000,Tennessee                                         ,Southeastern Conference                                                    ,694,0,10,110,UCLA                                              ,Pac-12/Pac-10 Conference                                                   ,1,10,TIED      ,17,19,106,106,118,118,42,42,67,67,13,15,4,8,3,2,14,10,0,0,9/12/2009,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1921
2011,129033000000000,Kentucky                                          ,Southeastern Conference                                                    ,334,1,6,129,Central Michigan                                  ,Mid-American Conference                                                    ,0,13,BTEAM     ,12,17,38,38,57,57,-5,-5,221,221,12,25,5,10,1,1,15,15,-7,7,9/10/2011,53,Commonwealth Stadium                                                       ,TEAM           ,Lexington                                                                  ,KY,67606,Grass                    ,1973
2009,140024000000000,Florida                                           ,Southeastern Conference                                                    ,235,1,30,140,Cincinnati                                        ,Big East Conference/American Athletic                                      ,0,3,ATEAM     ,19,9,60,60,-29,-29,316,316,90,90,24,18,4,7,1,2,10,9,27,27,1/1/2010,58,Louisiana Superdome                                                        ,NEUTRAL        ,New Orleans                                                                ,LA,69082,FieldTurf                ,1975
2011,140069000000000,Tennessee                                         ,Southeastern Conference                                                    ,694,1,28,140,Cincinnati                                        ,Big East Conference/American Athletic                                      ,0,14,ATEAM     ,14,15,-2,-2,142,142,273,273,98,98,27,19,6,7,2,4,25,31,14,14,11/10/2012,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,2003
2011,140074000000000,Vanderbilt                                        ,Southeastern Conference                                                    ,736,0,7,140,Cincinnati                                        ,Big East Conference/American Athletic                                      ,1,14,BTEAM     ,23,18,79,79,143,143,14,14,85,85,13,15,8,8,3,4,25,24,-7,7,1/1/2009,30,Sun Life Stadium                                                           ,NEUTRAL        ,Miami                                                                      ,FL,75235,Grass                    ,1987
2008,141024000000000,Florida                                           ,Southeastern Conference                                                    ,235,1,49,141,Citadel                                           ,Southern                                                                   ,0,6,ATEAM     ,20,20,287,287,72,72,205,205,106,106,14,21,4,13,0,1,0,5,43,43,11/22/2008,27,Ben Hill Griffin Stadium at Florida Field                                  ,TEAM           ,Gainesville                                                                ,FL,88548,Grass                    ,1930
2010,147004000000000,Auburn                                            ,Southeastern Conference                                                    ,37,1,0,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,17,BTEAM     ,19,21,93,93,39,39,30,30,188,188,6,24,4,8,3,4,30,30,-17,17,9/18/2010,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1939
2012,147004000000000,Auburn                                            ,Southeastern Conference                                                    ,37,0,10,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,13,BTEAM     ,16,27,74,74,152,152,93,93,128,128,10,21,3,7,6,3,30,15,-3,3,9/1/2012,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,1992
2009,147065000000000,South Carolina                                    ,Southeastern Conference                                                    ,648,1,17,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,27,14,123,123,15,15,34,34,102,102,12,13,6,6,2,1,20,5,10,10,11/28/2009,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1934
2013,147065000000000,South Carolina                                    ,Southeastern Conference                                                    ,648,1,17,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,23,15,53,53,50,50,140,140,92,92,22,12,11,2,2,1,8,5,10,10,11/30/2013,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1934
